run_id,gpu_pair,model,policy,throughput,pair_cost,perf_per_cost
qwen25vl7b_h100_rtxpro6000_pd_paperref,h100_rtxpro6000,qwen25vl7b,pd,1657.17,4.1,404.18780487804884
qwen25vl7b_h100_rtxpro6000_request-dist_paperref,h100_rtxpro6000,qwen25vl7b,request-dist,1904.97,4.1,464.62682926829274
sd35_medium_a100_l40s_fluidgpu_vllm_r0,a100_l40s,sd35_medium,fluidgpu,0.915,2.5,0.366
sd35_medium_a100_l40s_homo-left_vllm_r0,a100_l40s,sd35_medium,homo-left,0.43,1.5,0.2866666666666667
sd35_medium_a100_l40s_homo-right_vllm_r0,a100_l40s,sd35_medium,homo-right,0.42,1.0,0.42
sd35_medium_a100_l40s_request-dist_vllm_r0,a100_l40s,sd35_medium,request-dist,0.7217,2.5,0.28868
sd35_medium_b200_h100_fluidgpu_paperref,b200_h100,sd35_medium,fluidgpu,1.8099999999999998,7.9,0.22911392405063288
sd35_medium_b200_h100_homo-left_paperref,b200_h100,sd35_medium,homo-left,1.1700000000000002,5.0,0.23400000000000004
sd35_medium_b200_h100_homo-right_paperref,b200_h100,sd35_medium,homo-right,0.74,2.9,0.25517241379310346
sd35_medium_b200_h100_request-dist_paperref,b200_h100,sd35_medium,request-dist,1.6235,7.9,0.20550632911392402
sd35_medium_h100_rtxpro6000_fluidgpu_paperref,h100_rtxpro6000,sd35_medium,fluidgpu,1.465,4.1,0.35731707317073175
sd35_medium_h100_rtxpro6000_homo-left_paperref,h100_rtxpro6000,sd35_medium,homo-left,0.74,2.9,0.25517241379310346
sd35_medium_h100_rtxpro6000_homo-right_paperref,h100_rtxpro6000,sd35_medium,homo-right,0.66,1.2,0.55
sd35_medium_h100_rtxpro6000_request-dist_paperref,h100_rtxpro6000,sd35_medium,request-dist,1.1900000000000002,4.1,0.2902439024390245
